년(Annual),구분,도보,승용차,자전거,택시,기타
2023,전체,92.8,4.4,1.7,0.9,0.3
2023,서울,91.0,5.0,2.7,0.8,0.5
2023,부산,92.8,4.8,1.2,0.9,0.4
2023,대구,92.7,4.8,1.8,0.7,0.1
2023,인천,92.9,4.2,1.7,1.1,0.2
2023,광주,94.0,3.2,1.4,1.1,0.3
2023,대전,93.7,3.4,1.7,0.9,0.3
2023,울산,92.9,4.8,1.1,0.9,0.4
2023,세종,94.1,2.7,1.2,0.8,1.2
2023,경기,92.7,4.6,1.6,0.8,0.3
2023,강원,94.2,3.9,1.1,0.7,0.2
2023,충북,94.3,3.9,1.2,0.5,0.2
2023,충남,94.0,4.1,1.1,0.7,0.1
2023,전북,93.7,3.8,1.6,0.8,0.2
2023,전남,94.7,3.3,1.0,0.9,0.2
2023,경북,93.9,3.9,1.2,0.9,0.2
2023,경남,93.8,3.7,1.2,1.1,0.2
2023,제주,93.2,4.0,1.7,0.6,0.5
2024,전체,83.4,8.0,1.0,4.0,3.6
2024,서울,83.5,7.9,1.2,4.2,3.2
2024,부산,82.9,8.0,1.1,4.0,3.9
2024,대구,83.3,8.9,0.7,4.0,3.1
2024,인천,83.1,8.3,1.2,3.6,3.8
2024,광주,83.9,8.9,0.8,3.1,3.3
2024,대전,83.6,7.9,0.9,4.3,3.3
2024,울산,85.4,6.8,0.7,4.0,3.2
2024,세종,82.5,7.9,1.2,3.8,4.6
2024,경기,83.3,8.1,1.0,3.9,3.7
2024,강원,84.0,8.4,1.0,4.0,2.7
2024,충북,83.0,8.7,1.1,3.8,3.5
2024,충남,83.2,7.5,0.8,4.2,4.3
2024,전북,83.9,7.5,1.1,3.4,4.1
2024,전남,83.1,7.4,1.1,4.2,4.4
2024,경북,83.9,7.9,1.0,4.3,3.0
2024,경남,83.1,8.0,0.9,4.0,4.0
2024,제주,82.4,8.3,0.7,4.2,4.4